Batch_Name,DATE,COUNTS
Batch1,6/2/2020,3
Batch1,7/2/2020,3
Batch2,5/22/2020,1
Batch2,5/23/2020,1
Batch2,5/24/2020,1
Batch2,5/25/2020,1
Batch2,5/26/2020,1
Batch2,5/27/2020,1
Batch2,5/28/2020,1
Batch2,5/29/2020,3
Batch2,5/30/2020,1
Batch2,5/31/2020,1
Batch2,6/1/2020,1
Batch2,6/2/2020,1
Batch2,6/3/2020,1
Batch2,6/4/2020,1
Batch2,6/5/2020,1
Batch2,6/6/2020,1
Batch2,6/7/2020,1
Batch2,6/8/2020,1
Batch2,6/9/2020,1
Batch2,6/10/2020,1
Batch2,6/11/2020,1
Batch2,6/12/2020,1
Batch2,6/13/2020,1
Batch2,6/14/2020,1
Batch2,6/15/2020,1
Batch2,6/16/2020,1
Batch2,6/17/2020,1
Batch2,6/18/2020,1
Batch2,6/19/2020,1
Batch2,6/20/2020,1
Batch2,6/21/2020,1
Batch2,6/22/2020,1
Batch2,6/23/2020,1
Batch2,6/24/2020,1
Batch2,6/25/2020,1
Batch2,6/26/2020,1
Batch2,6/27/2020,1
Batch2,6/28/2020,1
Batch2,6/29/2020,1
Batch2,6/30/2020,3
Batch2,7/1/2020,3
Batch2,7/2/2020,1
Batch2,7/3/2020,1
Batch2,7/4/2020,1
Batch2,7/5/2020,1
Batch2,7/6/2020,1
Batch2,7/7/2020,1
Batch2,7/8/2020,1
Batch2,7/9/2020,1
Batch2,7/10/2020,1
Batch2,7/11/2020,1
Batch2,7/12/2020,1
Batch2,7/13/2020,1
Batch2,7/14/2020,1
Batch2,7/15/2020,1
Batch2,7/16/2020,1
Batch2,7/17/2020,1
Batch2,7/18/2020,1
Batch2,7/19/2020,1
Batch2,7/20/2020,1
Batch3,5/22/2020,3
Batch3,5/23/2020,3
Batch3,5/24/2020,3
Batch3,5/25/2020,3
Batch3,5/26/2020,3
Batch3,5/27/2020,3
Batch3,5/28/2020,3
Batch3,5/29/2020,3
Batch3,5/30/2020,3
Batch3,5/31/2020,3
Batch3,6/1/2020,3
Batch3,6/2/2020,3
Batch3,6/3/2020,3
Batch3,6/4/2020,3
Batch3,6/5/2020,3
Batch3,6/6/2020,3
Batch3,6/7/2020,3
Batch3,6/8/2020,3
Batch3,6/9/2020,3
Batch3,6/10/2020,3
Batch3,6/11/2020,3
Batch3,6/12/2020,3
Batch3,6/13/2020,3
Batch3,6/14/2020,3
Batch3,6/15/2020,3
Batch3,6/16/2020,3
Batch3,6/17/2020,3
Batch3,6/18/2020,3
Batch3,6/19/2020,3
Batch3,6/20/2020,3
Batch3,6/21/2020,3
Batch3,6/22/2020,3
Batch3,6/23/2020,3
