LD_INFO_SK,BTCH_NM,LD_STRT_TS,LD_END_TS,LD_DURTN_SCND,LD_STS,TNNT_SK,SRC_CD
1409352,BATCH_42,2020-07-18 07:37:49 EDT,2020-07-18 07:45:02 EDT,433,COMPLETED                                                                       ,1,SRC1
1408837,BATCH_68,2020-07-11 00:00:44 EDT,2020-07-11 00:05:06 EDT,262,COMPLETED                                                                       ,1,SRC14
1408597,BATCH_42,2020-07-08 08:48:40 EDT,2020-07-08 08:55:15 EDT,395,COMPLETED                                                                       ,1,SRC1
1409077,BATCH_14,2020-07-14 15:10:26 EDT,2020-07-14 15:29:41 EDT,1155,COMPLETED                                                                       ,1,SRC1
1408237,BATCH_42,2020-07-04 21:35:03 EDT,2020-07-04 22:01:15 EDT,1572,COMPLETED                                                                       ,1,SRC1
1408717,BATCH_42,2020-07-09 14:37:20 EDT,2020-07-09 14:45:16 EDT,476,COMPLETED                                                                       ,1,SRC1
1408357,BATCH_36,2020-07-06 03:24:02 EDT,,,STARTED                                                                         ,1,SRC4
1407997,BATCH_42,2020-07-02 10:35:28 EDT,2020-07-02 10:46:08 EDT,640,COMPLETED                                                                       ,1,SRC1
1408117,BATCH_42,2020-07-03 14:34:55 EDT,2020-07-03 14:41:40 EDT,405,COMPLETED                                                                       ,1,SRC1
1407877,BATCH_41,2020-07-01 04:03:17 EDT,2020-07-01 04:03:58 EDT,41,COMPLETED                                                                       ,1,SRC1
1408957,BATCH_65,2020-07-13 00:31:05 EDT,2020-07-13 00:32:24 EDT,79,COMPLETED                                                                       ,1,SRC13
1408477,BATCH_71,2020-07-07 08:00:29 EDT,2020-07-07 08:01:55 EDT,86,COMPLETED                                                                       ,1,SRC10
1409317,BATCH_42,2020-07-17 23:36:50 EDT,2020-07-17 23:43:54 EDT,424,COMPLETED                                                                       ,1,SRC1
1409197,BATCH_42,2020-07-16 08:37:08 EDT,2020-07-16 08:46:47 EDT,579,COMPLETED                                                                       ,1,SRC1
1408524,BATCH_42,2020-07-07 18:39:40 EDT,2020-07-07 18:51:43 EDT,723,COMPLETED                                                                       ,1,SRC1
1407924,BATCH_42,2020-07-01 18:35:06 EDT,2020-07-01 18:41:45 EDT,399,COMPLETED                                                                       ,1,SRC1
1408044,BATCH_42,2020-07-02 20:34:57 EDT,2020-07-02 20:43:30 EDT,513,COMPLETED                                                                       ,1,SRC1
1408644,BATCH_42,2020-07-08 20:36:07 EDT,2020-07-08 20:42:40 EDT,393,COMPLETED                                                                       ,1,SRC1
1408164,BATCH_42,2020-07-04 02:36:25 EDT,2020-07-04 02:50:02 EDT,817,COMPLETED                                                                       ,1,SRC1
1408284,BATCH_71,2020-07-05 08:00:17 EDT,2020-07-05 08:01:38 EDT,81,COMPLETED                                                                       ,1,SRC10
1408404,BATCH_41,2020-07-06 14:03:54 EDT,2020-07-06 14:04:37 EDT,43,COMPLETED                                                                       ,1,SRC1
1408764,BATCH_42,2020-07-10 02:36:29 EDT,2020-07-10 02:53:23 EDT,1014,COMPLETED                                                                       ,1,SRC1
1409244,BATCH_42,2020-07-16 22:36:30 EDT,2020-07-16 22:43:31 EDT,421,COMPLETED                                                                       ,1,SRC1
1408884,BATCH_50,2020-07-11 16:00:20 EDT,2020-07-11 16:27:06 EDT,1606,COMPLETED                                                                       ,1,SRC1
1409004,BATCH_77,2020-07-13 15:03:07 EDT,2020-07-13 17:04:03 EDT,7256,COMPLETED                                                                       ,1,SRC1
1409124,BATCH_42,2020-07-15 08:36:43 EDT,2020-07-15 08:44:41 EDT,478,COMPLETED                                                                       ,1,SRC1
1408833,BATCH_9,2020-07-11 00:00:40 EDT,2020-07-11 00:05:15 EDT,275,COMPLETED                                                                       ,1,SRC7
1408713,BATCH_41,2020-07-09 13:03:53 EDT,2020-07-09 13:04:37 EDT,44,COMPLETED                                                                       ,1,SRC1
1408113,BATCH_42,2020-07-03 12:35:09 EDT,2020-07-03 12:41:55 EDT,406,COMPLETED                                                                       ,1,SRC1
1407873,BATCH_42,2020-07-01 02:35:06 EDT,2020-07-01 02:41:36 EDT,390,COMPLETED                                                                       ,1,SRC1
1407993,BATCH_41,2020-07-02 10:03:42 EDT,2020-07-02 10:04:24 EDT,42,COMPLETED                                                                       ,1,SRC1
1408233,BATCH_42,2020-07-04 19:34:54 EDT,2020-07-04 19:44:31 EDT,577,COMPLETED                                                                       ,1,SRC1
1408953,BATCH_49,2020-07-13 00:00:46 EDT,2020-07-13 00:06:14 EDT,328,COMPLETED                                                                       ,1,SRC5
1408353,BATCH_41,2020-07-06 02:06:27 EDT,2020-07-06 02:07:23 EDT,56,COMPLETED                                                                       ,1,SRC1
1408473,BATCH_41,2020-07-07 07:12:01 EDT,2020-07-07 07:12:42 EDT,41,COMPLETED                                                                       ,1,SRC1
1408593,BATCH_3,2020-07-08 07:59:17 EDT,2020-07-08 10:57:56 EDT,10719,COMPLETED                                                                       ,1,SRC1
1409313,BATCH_42,2020-07-17 20:37:12 EDT,2020-07-17 20:45:18 EDT,486,COMPLETED                                                                       ,1,SRC1
1409073,BATCH_75,2020-07-14 13:25:29 EDT,2020-07-14 13:38:35 EDT,786,COMPLETED                                                                       ,1,SRC18
1409193,BATCH_60,2020-07-16 07:00:13 EDT,2020-07-16 09:24:27 EDT,8654,COMPLETED                                                                       ,1,SRC10
1408006,BATCH_36,2020-07-02 13:54:21 EDT,,,STARTED                                                                         ,1,SRC4
1408606,BATCH_42,2020-07-08 10:36:05 EDT,2020-07-08 10:48:38 EDT,753,COMPLETED                                                                       ,1,SRC1
1408726,BATCH_41,2020-07-09 17:03:51 EDT,2020-07-09 17:04:28 EDT,37,COMPLETED                                                                       ,1,SRC1
1408246,BATCH_48,2020-07-05 00:00:48 EDT,2020-07-05 00:30:57 EDT,1809,COMPLETED                                                                       ,1,SRC3
1408366,BATCH_3,2020-07-06 04:59:45 EDT,2020-07-06 05:26:18 EDT,1593,COMPLETED                                                                       ,1,SRC1
1409206,BATCH_54,2020-07-16 10:15:55 EDT,2020-07-16 11:45:42 EDT,5387,COMPLETED                                                                       ,1,SRC1
1408126,BATCH_64,2020-07-03 17:00:28 EDT,,,STARTED                                                                         ,1,SRC1
1408486,BATCH_76,2020-07-07 10:00:17 EDT,2020-07-07 10:00:40 EDT,23,COMPLETED                                                                       ,1,SRC1
1407886,BATCH_42,2020-07-01 07:35:18 EDT,2020-07-01 07:41:55 EDT,397,COMPLETED                                                                       ,1,SRC1
1409326,BATCH_48,2020-07-18 00:00:58 EDT,2020-07-18 00:31:57 EDT,1859,COMPLETED                                                                       ,1,SRC3
1408846,BATCH_42,2020-07-11 04:36:27 EDT,2020-07-11 04:44:09 EDT,462,COMPLETED                                                                       ,1,SRC1
1408966,BATCH_7,2020-07-13 06:00:17 EDT,2020-07-13 06:21:08 EDT,1251,COMPLETED                                                                       ,1,SRC2
1409086,BATCH_66,2020-07-14 17:31:19 EDT,2020-07-14 18:07:29 EDT,2170,COMPLETED                                                                       ,1,SRC1
1408865,BATCH_25,2020-07-11 08:28:22 EDT,2020-07-11 11:25:54 EDT,10652,COMPLETED                                                                       ,1,SRC1
1408025,BATCH_42,2020-07-02 16:14:35 EDT,2020-07-02 16:22:34 EDT,479,COMPLETED                                                                       ,1,SRC1
1408145,BATCH_42,2020-07-03 22:34:50 EDT,2020-07-03 22:41:32 EDT,402,COMPLETED                                                                       ,1,SRC1
